"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/17/2026","2:25 PM","9-073-022-461","TRANSFER CASES",,"MLT8010645","Leak Test FG","1","10.60","D15-Sinks","LT-P702 Case 214","LT-P702 Case 214",,,"$44.17","$44.17",
"3/17/2026","2:26 PM","9-073-022-461","TRANSFER CASES",,"MLT8010646","Leak Test FG","1","10.60","D25-Leaker","LT-P702 Case 214","LT-P702 Case 214",,,"$44.17","$44.17",
"3/17/2026","2:28 PM","9-073-022-463","TRANSFER CASES",,"MLT8010614","Leak Test FG","1","6.52","M03-Handling Damage","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","2:29 PM","9-073-022-463","TRANSFER CASES",,"MLT8010614","Leak Test FG","1","6.52","D25-Leaker","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","2:30 PM","9-176-022-424W","TRANSFER CASES",,"MLT8010640","Die Cast Part Shot","1","7.92","D41-Etched Barcode","DCM B7 112","Plant C Storage",,,"$36.70","$36.70","1"
"3/17/2026","2:32 PM","9-176-022-424","TRANSFER CASES",,"MLT8010600","Machining Pierce Part (Final)","4","31.66","M22-Targeting","CNC Makino26B 215","LT-CD6 Transit Cover 215",,,"$48.35","$193.42",
"3/17/2026","2:33 PM","9-176-022-424","TRANSFER CASES",,"MLT8010600","Machining Pierce Part (Final)","2","15.83","M06-Machine Alarm","CNC Makino26B 215","LT-CD6 Transit Cover 215",,,"$48.35","$96.71",
"3/17/2026","2:33 PM","9-085-016-433IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8001473","Die Cast Part Shot","1","8.79","D15-Sinks","MA Mazak 240","MA Mazak 240",,,"$33.52","$33.52","Cav.A"
"3/17/2026","2:34 PM","9-072-010-497","MAG - BRACKETS",,"MLT8006315","Die Cast Part Shot","4","6.05","D04-Crack","SL-U625 Display Brkt","SL-U625 Display Brkt",,,"$7.07","$28.26","process crack"
"3/17/2026","2:34 PM","9-081-015-464IP","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT7882218","Die Cast Part Shot","1","13.51","D04-Crack","KIRA 03","KIRA 03",,,"$54.91","$54.91","parts OOS, pending further review by QE

reworked for SC2 & SC4 flash"
