"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/12/2026","11:05 PM","9-032-010-147","MAG - BRACKETS",,"MLT8003475","Cell Assembly FG","2","8.99","M05-Overcut","MA DRDX 204","Dock-SH-C32",,,"$23.52","$47.04",
"3/12/2026","11:19 PM","9-032-010-147","MAG - BRACKETS",,"MLT8003516","Cell Assembly FG","1","4.50","D34-Porosity","MA DRDX 204","MA DRDX 204",,,"$23.52","$23.52",
"3/12/2026","11:19 PM","9-032-010-147W","MAG - BRACKETS",,"MLT8003178","Die Cast Part Shot","1","4.50","D04-Crack","MA DRDX 204","MA DRDX 204",,,"$18.06","$18.06","33"
"3/12/2026","11:24 PM","9-034-016-498","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8003518","Cell Assembly FG","1","10.99","D02-Incomplete Fill/Cold Shut/Cold Flow","JL IP Assy 242","JL IP Assy 242",,,"$67.27","$67.27",
"3/12/2026","11:28 PM","9-058-019-328","SEATS",,"MLT7970851","Die Cast Part Shot","1","3.28","D05-Shrinkage","M Corvette Seat 241","M Corvette Seat 241",,,"$21.89","$21.89","C"
"3/12/2026","12:01 AM","9-073-022-463","TRANSFER CASES",,"MLT8003552","Leak Test FG","1","6.52","M01-Porosity","LT-P702 Cover 214","Dock-SH-C32",,,"$32.69","$32.69",
"3/12/2026","12:01 AM","9-176-022-424","TRANSFER CASES",,"MLT8003430","Leak Test FG","1","7.94","D25-Leaker","LT-CD6 Transit Cover 215","Dock-SH-C32",,,"$49.99","$49.99",
"3/12/2026","12:17 AM","9-034-016-498","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8003585","Machining Pierce Part (1)","1","10.99","D06-Trim Damage","KIRA 10","KIRA 10",,,"$54.40","$54.40",
"3/12/2026","12:23 AM","9-176-022-424W","TRANSFER CASES",,"MLT8003485","Die Cast Part Shot","2","15.83","D01-Start-up Scrap","DCM B7 112","CNC Makino26B 215",,,"$36.70","$73.41","FO APPROVED"
"3/12/2026","12:29 AM","9-034-016-498W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8003601","Die Cast Part Shot (FG)","1","10.99","D04-Crack","DCM E1 120","JL CNC Cast WIP",,,"$48.04","$48.04",
"3/12/2026","12:30 AM","9-034-016-498W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8003601","Die Cast Part Shot (FG)","1","10.99","D06-Trim Damage","DCM E1 120","JL CNC Cast WIP",,,"$48.04","$48.04",
"3/12/2026","12:42 AM","9-083-015-347IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT7989964","Die Cast Part Shot","3","46.74","D02-Incomplete Fill/Cold Shut/Cold Flow","V Honda Pilot IP 347","V Honda Pilot IP 347",,,"$55.35","$166.05","G"
"3/12/2026","12:42 AM","9-083-015-347IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT7989964","Die Cast Part Shot","4","62.32","D12-Bent/Warped","V Honda Pilot IP 347","V Honda Pilot IP 347",,,"$55.35","$221.40","G"
"3/12/2026","12:43 AM","9-039-020-496","STEERING COLUMN COMPONENTS",,"MLT8003617","Machining Pierce Part (Final)","5","1.34","O08-Floor Gauge Rejection","M Lower Brkt 496","SL-Lower Rake Brkt",,,"$3.72","$18.61",
"3/12/2026","12:43 AM","9-039-020-496","STEERING COLUMN COMPONENTS",,"MLT8003617","Machining Pierce Part (Final)","2","0.54","D34-Porosity","M Lower Brkt 496","SL-Lower Rake Brkt",,,"$3.72","$7.44",
"3/12/2026","12:44 AM","9-073-022-463W","TRANSFER CASES",,"MLT8003621","Die Cast Part Shot","3","19.56","D41-Etched Barcode","DCM A7 116","WIP Makino 5-6",,,"$22.14","$66.43","Cav 10"
"3/12/2026","12:50 AM","9-085-016-433IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8003577","Die Cast Part Shot","1","8.79","D19-Broken Biscuit","DCM A8 118","MA Mazak 240",,,"$33.52","$33.52","Cav.A"
"3/12/2026","12:50 AM","9-085-010-434","MAG - BRACKETS",,"MLT8001304","Die Cast Part Shot","1","0.41","D19-Broken Biscuit","DCM A8 118","MA Mazak 240",,,"$2.58","$2.58","Cav.A"
"3/12/2026","12:50 AM","9-085-010-435","MAG - BRACKETS",,"MLT8002621","Die Cast Part Shot","1","0.67","D19-Broken Biscuit","DCM A8 118","MA Mazak 240",,,"$1.54","$1.54","Cav.A"
"3/12/2026","12:58 AM","8-072-017-439W","MAG - MRS/FOD/FEC/BOLSTERS",,"MLT8003630","Die Cast Part Shot","2","4.16","D06-Trim Damage","DCM B4 112","MAG030-C",,,"$9.32","$18.65",
"3/12/2026","12:59 AM","9-073-022-463","TRANSFER CASES",,"MLT8003622","Leak Test FG","3","19.56","O14-Incomplete Operation","LT-P702 Cover 214","Dock-SH-C32",,,"$32.69","$98.06",
"3/12/2026","12:59 AM","9-073-022-463","TRANSFER CASES",,"MLT8003622","Leak Test FG","2","13.04","M01-Porosity","LT-P702 Cover 214","Dock-SH-C32",,,"$32.69","$65.37",
