"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/14/2026","12:55 AM","9-073-022-461M","TRANSFER CASES",,"MLT8006584","Machining Pierce Part (Final)","4","42.40","M22-Targeting","CNC Makino09 214","Plant B Makino Conveyor",,,"$41.10","$164.39",
"3/14/2026","1:08 AM","9-072-022-422W","TRANSFER CASES",,"MLT8006593","Die Cast Part Shot","4","15.90","D01-Start-up Scrap","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$67.57","cav 7"
"3/14/2026","1:08 AM","9-072-022-422W","TRANSFER CASES",,"MLT8006594","Die Cast Part Shot","4","15.90","D01-Start-up Scrap","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$67.57","cav 8"
"3/14/2026","1:25 AM","9-072-022-422","TRANSFER CASES",,"MLT8006626","Leak Test FG","1","3.54","M03-Handling Damage","LT-CD6 Explorer Cover 215","Dock-SH-C32",,,"$25.96","$25.96",
"3/14/2026","1:30 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006630","Die Cast Part Shot","3","22.58","D01-Start-up Scrap","DCM A4 116","Trailer Dock C27",,,"$31.29","$93.88","CAV 7"
"3/14/2026","1:30 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006630","Die Cast Part Shot","1","7.53","D06-Trim Damage","DCM A4 116","Trailer Dock C27",,,"$31.29","$31.29","CAV 7"
"3/14/2026","1:32 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006630","Die Cast Part Shot","1","7.53","D01-Start-up Scrap","DCM A4 116","Trailer Dock C27",,,"$31.29","$31.29","CAV 7"
"3/14/2026","1:54 AM","9-073-022-463W","TRANSFER CASES",,"MLT8006637","Die Cast Part Shot","3","19.56","D01-Start-up Scrap","DCM A7 116","WIP Makino 3-4",,,"$22.14","$66.43","Cav 9"
"3/14/2026","1:54 AM","9-073-022-463W","TRANSFER CASES",,"MLT8006638","Die Cast Part Shot","3","19.56","D01-Start-up Scrap","DCM A7 116","WIP Makino 5-6",,,"$22.14","$66.43","Cav 10"
"3/14/2026","2:02 AM","9-073-022-460W","TRANSFER CASES",,"MLT8006649","Die Cast Part Shot","1","10.83","D01-Start-up Scrap","DCM A1 116","PLANT b STORAGE",,,"$38.39","$38.39","cav 3"
"3/14/2026","2:02 AM","9-073-022-460W","TRANSFER CASES",,"MLT8006649","Die Cast Part Shot","2","21.65","D01-Start-up Scrap","DCM A1 116","PLANT b STORAGE",,,"$38.39","$76.78","cav 3"
"3/14/2026","2:33 AM","9-073-022-461W","TRANSFER CASES",,"MLT8006661","Die Cast Part Shot","3","31.43","D01-Start-up Scrap","DCM W2 121","Zone 2",,,"$37.01","$111.02","cav 10"
"3/14/2026","2:33 AM","9-073-022-461M","TRANSFER CASES",,"MLT8006584","Machining Pierce Part (Final)","4","42.40","M22-Targeting","CNC Makino09 214","Plant B Makino Conveyor",,,"$41.10","$164.39",
"3/14/2026","2:42 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006663","Die Cast Part Shot","2","15.05","D06-Trim Damage","DCM A4 116","Trailer Dock C27",,,"$31.29","$62.58","CAV 7"
"3/14/2026","2:56 AM","9-073-022-463W","TRANSFER CASES",,"MLT8006654","Die Cast Part Shot","1","6.52","D06-Trim Damage","DCM A7 116","WIP Makino 3-4",,,"$22.14","$22.14","Cav 9"
"3/14/2026","2:57 AM","9-032-010-147W","MAG - BRACKETS",,"MLT8006668","Die Cast Part Shot","20","89.90","D06-Trim Damage","DCM W1 121","Zone 2",,,"$18.06","$361.25","34"
"3/14/2026","3:02 AM","9-073-022-460W","TRANSFER CASES",,"MLT8006676","Die Cast Part Shot","3","32.48","D01-Start-up Scrap","DCM A1 116","PLANT b STORAGE",,,"$38.39","$115.17","cav 3"
"3/14/2026","3:13 AM","9-073-022-463W","TRANSFER CASES",,"MLT8006655","Die Cast Part Shot","1","6.52","D35-Barcode Label","DCM A7 116","WIP Makino 1-2",,,"$22.14","$22.14","Cav 10"
"3/14/2026","3:28 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006684","Die Cast Part Shot","1","7.53","D32-Robot Mishandle","DCM A4 116","Trailer Dock C27",,,"$31.29","$31.29","CAV 7"
"3/14/2026","3:56 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006684","Die Cast Part Shot","1","7.53","D06-Trim Damage","DCM A4 116","Trailer Dock C27",,,"$31.29","$31.29","CAV 7"
"3/14/2026","3:57 AM","9-032-010-147W","MAG - BRACKETS",,"MLT8006695","Die Cast Part Shot","2","8.99","D01-Start-up Scrap","DCM W1 121","Zone 2",,,"$18.06","$36.13","34"
"3/14/2026","4:00 AM","9-073-022-460W","TRANSFER CASES",,"MLT8006697","Die Cast Part Shot","1","10.83","D01-Start-up Scrap","DCM A1 116","Trailer Dock A5",,,"$38.39","$38.39","cav 3"
"3/14/2026","4:35 AM","8-073-022-293","TRANSFER CASES",,"MLT8006708","Leak Test FG","6","64.65","D04-Crack","Leaktester Case 214","Dock-SH-C32",,,"$53.40","$320.40",
"3/14/2026","4:46 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006712","Die Cast Part Shot","1","7.53","D06-Trim Damage","DCM A4 116","Trailer Dock C27",,,"$31.29","$31.29","CAV 7"
"3/14/2026","5:26 AM","9-072-022-422","TRANSFER CASES",,"MLT8006736","Leak Test FG","2","7.08","D25-Leaker","LT-CD6 Explorer Cover 215","Dock-SH-C32",,,"$25.96","$51.91",
"3/14/2026","5:28 AM","9-072-022-421W","TRANSFER CASES",,"MLT8006712","Die Cast Part Shot","2","15.05","D32-Robot Mishandle","DCM A4 116","Trailer Dock C27",,,"$31.29","$62.58","CAV 7"
"3/14/2026","5:29 AM","9-073-022-460W","TRANSFER CASES",,"MLT8006737","Die Cast Part Shot","1","10.83","D16-Biscuit Size","DCM A1 116","Trailer Dock A5",,,"$38.39","$38.39","cav 3"
"3/14/2026","5:29 AM","9-073-022-460W","TRANSFER CASES",,"MLT8006737","Die Cast Part Shot","1","10.83","D06-Trim Damage","DCM A1 116","Trailer Dock A5",,,"$38.39","$38.39","cav 3"
"3/14/2026","5:46 AM","9-073-022-463W","TRANSFER CASES",,"MLT8006741","Die Cast Part Shot","1","6.52","D16-Biscuit Size","DCM A7 116","WIP Makino 1-2",,,"$22.14","$22.14","Cav 9"
