"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/9/2026","12:23 AM","9-050-010-485","MAG - BRACKETS",,"MLT7997297","Cell Assembly FG","1","3.33","M04-Non-Cleanup","AV T1XX BRKT 248","Dock-SH-C32",,,"$27.99","$27.99",
"3/9/2026","12:37 AM","9-176-022-424W","TRANSFER CASES",,"MLT7997285","Die Cast Part Shot","2","15.83","D01-Start-up Scrap","DCM B7 112","Transit Makino WIP",,,"$36.70","$73.41","FO APPROVED"
"3/9/2026","12:51 AM","9-072-022-421W","TRANSFER CASES",,"MLT7998579","Die Cast Part Shot","2","15.05","D06-Trim Damage","DCM A4 116","CD6 Exp Case Wip",,,"$31.29","$62.58","CAV 7"
"3/9/2026","12:51 AM","9-072-022-421W","TRANSFER CASES",,"MLT7998579","Die Cast Part Shot","2","15.05","D01-Start-up Scrap","DCM A4 116","CD6 Exp Case Wip",,,"$31.29","$62.58","CAV 7"
"3/9/2026","1:04 AM","9-073-022-463W","TRANSFER CASES",,"MLT7998246","Die Cast Part Shot","3","19.56","D16-Biscuit Size","DCM A7 116","WIP Makino 5-6",,,"$22.14","$66.43","Cav 9"
"3/9/2026","1:04 AM","9-073-022-463W","TRANSFER CASES",,"MLT7998247","Die Cast Part Shot","3","19.56","D16-Biscuit Size","DCM A7 116","WIP Makino 3-4",,,"$22.14","$66.43","Cav 10"
"3/9/2026","1:04 AM","9-073-022-463W","TRANSFER CASES",,"MLT7998246","Die Cast Part Shot","1","6.52","D19-Broken Biscuit","DCM A7 116","WIP Makino 5-6",,,"$22.14","$22.14","Cav 9"
"3/9/2026","1:04 AM","9-073-022-463W","TRANSFER CASES",,"MLT7998247","Die Cast Part Shot","1","6.52","D19-Broken Biscuit","DCM A7 116","WIP Makino 3-4",,,"$22.14","$22.14","Cav 10"
"3/9/2026","1:11 AM","9-073-022-461W","TRANSFER CASES",,"MLT7998588","Die Cast Part Shot","5","52.38","D01-Start-up Scrap","DCM W2 121","WIP Makino 14-15",,,"$37.01","$185.03","cav 10"
"3/9/2026","1:19 AM","9-078-016-478W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT7998594","Die Cast Part Shot","9","84.17","D04-Crack","DCM W3 122","DCM W3 122",,,"$42.04","$378.38",
"3/9/2026","1:24 AM","9-176-022-424W","TRANSFER CASES",,"MLT7996176","Die Cast Part Shot","1","7.92","O10 - Die Cast Test Part","CNC Makino26B 215","CNC Makino26B 215","2",,"$36.70","$36.70","Mar 5 - On hold until F/O is approved
Mar 6 - FO APPROVED"
"3/9/2026","1:38 AM","9-176-022-424W","TRANSFER CASES",,"MLT7998597","Die Cast Part Shot","1","7.92","D19-Broken Biscuit","DCM B7 112","Transit Makino WIP",,,"$36.70","$36.70","FO APPROVED"
"3/9/2026","1:38 AM","9-073-022-461W","TRANSFER CASES",,"MLT7998588","Die Cast Part Shot","2","20.95","D01-Start-up Scrap","DCM W2 121","WIP Makino 14-15",,,"$37.01","$74.01","cav 10"
"3/9/2026","1:48 AM","9-072-010-497","MAG - BRACKETS",,"MLT7997014","Die Cast Part Shot","12","18.14","D01-Start-up Scrap","DCM B3 112","SL-U625 Display Brkt",,,"$7.07","$84.79","ABCD"
"3/9/2026","1:48 AM","9-072-010-497","MAG - BRACKETS",,"MLT7997014","Die Cast Part Shot","4","6.05","D01-Start-up Scrap","DCM B3 112","SL-U625 Display Brkt",,,"$7.07","$28.26","ABCD"
"3/9/2026","1:56 AM","8-073-022-342","TRANSFER CASES",,"MLT7998608","Leak Test FG","6","37.02","M03-Handling Damage","Leaktest-Cover P552","Leaktest-Cover P552",,,"$30.37","$182.22",
