"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/11/2026","11:28 PM","9-085-016-433IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8001594","Die Cast Part Shot","2","17.58","D12-Bent/Warped","MA Mazak 240","MA Mazak 240",,,"$33.52","$67.04","Cav.A"
"3/11/2026","11:36 PM","9-032-010-147W","MAG - BRACKETS",,"MLT8001457","Die Cast Part Shot","2","8.99","D04-Crack","MA DRDX 204","MA DRDX 204",,,"$18.06","$36.13","33"
"3/11/2026","11:45 PM","9-073-022-461M","TRANSFER CASES",,"MLT8001907","Machining Pierce Part (Final)","2","21.20","M22-Targeting","CNC Makino09 214","CNC Makino09 214",,,"$41.10","$82.19",
"3/11/2026","11:52 PM","9-078-016-478","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8001913","Machining Pierce Part (Final)","4","36.44","M01-Porosity","KIRA 05","KIRA 05",,,"$48.81","$195.22",
"3/11/2026","12:00 AM","9-083-015-347IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8000967","Die Cast Part Shot","9","140.22","D04-Crack","V Honda Pilot IP 347","V Honda Pilot IP 347",,,"$55.35","$498.16","G"
"3/11/2026","12:19 AM","9-034-016-498","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8002031","Machining Pierce Part (1)","3","32.97","D04-Crack","KIRA 04","JL IP Assy 242",,,"$54.40","$163.19",
"3/11/2026","12:19 AM","9-034-016-498","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8002031","Machining Pierce Part (1)","1","10.99","M22-Targeting","KIRA 04","JL IP Assy 242",,,"$54.40","$54.40",
"3/11/2026","12:19 AM","9-176-022-424","TRANSFER CASES",,"MLT8001573","Leak Test FG","1","7.94","D25-Leaker","LT-CD6 Transit Cover 215","Dock-SH-C32",,,"$49.99","$49.99",
"3/11/2026","12:20 AM","9-034-016-498","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8002036","Machining Pierce Part (1)","2","21.98","D04-Crack","KIRA 10","KIRA 10",,,"$54.40","$108.80",
"3/11/2026","12:26 AM","9-073-022-461M","TRANSFER CASES",,"MLT8002042","Machining Pierce Part (Final)","6","63.60","M22-Targeting","CNC Makino09 214","CNC Makino09 214",,,"$41.10","$246.58",
